,PCE,polarizability,delLA,delLD,N_atom,Eg,lamda_h,DIP,AL-DH,delHD,E_bind,DL-AL,delGE,E_T1,fMF,nHBAcc,apol,bpol,Vabc,MW,AMW,ABC,ABCGG,nAromAtom,nAromBond,C1SP2,C2SP2,C3SP2,C1SP3,HybRatio,FCSP3
187,4.46,895.381,0.077824564,0.076463995,47,449.49,0.595033827,6.555118396,3.603059623,0.537696988,2.15468717,0.581507319,2.01078798,1.9395,0.3846,13,121.858962,57.677038,735.5000996,878.0563546,9.648970929,44.85668400940355,33.66289627399816,35,35,2,24,8,6,0.1904761904761904,0.1818181818181818
188,4.45,855.3663333,0.077824564,0.100410014,50,467.92,0.421426273,6.403498186,3.440335535,0.464226246,2.222885609,0.664774161,0.633405952,1.787,0.6098,14,116.680618,53.795382,633.4408441,873.9821441,10.65831883,46.15990509643659,32.21412504618907,50,54,0,32,6,2,0.0952380952380952,0.0952380952380952
189,4.43,1166.115333,0.077824564,0.058232366,66,451.33,0.469660359,6.353264334,3.453124886,0.510757716,1.978130784,0.615249438,2.052337324,1.927,0.4426,16,163.090892,73.641108,966.1633457,1168.096505,9.574561517,62.07293325246556,42.84627742702831,54,56,2,38,12,4,0.1333333333333333,0.1290322580645161
190,4.4,547.618,0.033470005,1.245193024,38,509.61,0.462005796,6.459820312,3.505914975,0.946139892,2.413904182,0.473206003,0.0011,1.1141,0.6,6,77.98386,33.61214,449.7654493,560.0864491,9.334774152,33.064976196934225,24.85593344019421,28,30,2,24,4,0,0.0625,0.0625
191,4.4,766.418,0.033470005,0.188030677,50,484.47,0.380579261,6.420354551,3.497479445,0.142043435,2.313357854,0.588854394,0.047901879,1.1824,0.561,8,108.018204,48.241796,643.8416591,780.0993394,9.513406578,44.41184274968487,32.24883889638103,30,31,6,24,8,0,0.0952380952380952,0.0952380952380952
192,4.4,1108.003,0.033470005,1.272132296,74,509.33,0.480604234,6.05529993,3.186997531,0.321094355,2.227060897,0.762463036,0.061130516,1.1485,0.5455,10,166.44365,70.49635,880.6650649,1098.349815,8.320831931,69.1159037234058,45.01004629881436,64,76,2,44,16,0,0.1142857142857142,0.1142857142857142
193,4.4,944.0956667,0.077824564,0.128165628,56,500.58,0.349641276,6.249320105,3.2982921,0.210888242,2.212867135,0.666951071,0.220941553,1.1513,0.5417,12,128.109376,60.646624,750.4302375,952.0646107,9.917339695,52.65448343680414,38.419048251502126,36,39,6,28,8,0,0.125,0.125
194,4.4,959.8576667,0.033470005,0.117825302,54,497.75,0.403531793,6.320272706,3.44142399,0.396742008,2.196653899,0.518376904,2.385696186,1.6952,0.618,12,125.874204,54.555796,696.8460574,942.0047713,10.58432327,50.815943514596725,34.862845397658184,54,56,0,34,8,4,0.1063829787234042,0.1063829787234042
195,4.33,1494.616,0.033470005,0.03455846,64,495.29,0.430875154,6.324246657,3.522786034,0.551030567,1.82435121,0.24245345,1.769882024,1.7669,0.4483,18,195.120822,86.209178,1141.111695,1366.151535,9.421734724,74.02751528752871,50.657149690131845,62,62,4,36,14,10,0.217391304347826,0.2054794520547945
196,4.32,831.8763333,0.077824564,0.176601895,43,491.59,0.34450431,6.618514939,3.664557355,0.768177427,2.13936852,0.242453449,0.397246888,1.7147,0.4366,11,100.026239,41.823761,593.7485526,729.0277717,10.26799679,38.204993694020985,28.11728366955725,31,33,0,22,6,4,0.1515151515151515,0.1351351351351351
197,4.32,654.2453333,0.033470005,1.018794293,40,521.78,0.512546592,6.363804937,3.440335535,0.788858081,2.334040576,0.463954132,0.0,1.096,0.6129,8,87.760274,40.199726,518.3562112,691.9660603,11.16074291,36.11218292116276,27.92592933866631,30,30,4,24,2,0,0.0625,0.0625
198,4.25,1987.570333,0.077824564,0.030748866,114,520.95,0.221707489,6.243225299,3.403600163,0.028299842,2.019142323,0.49905682,0.0001,1.1407,0.5955,22,247.936408,107.823592,1436.395665,1844.024957,10.35969077,101.38984710264828,67.28993224383042,84,86,8,64,14,2,0.0851063829787234,0.0851063829787234
199,4.25,1252.545333,0.033470005,0.161363519,54,506.9,0.380076939,6.084308084,3.283870065,0.428035102,2.073525085,0.618514804,0.406928323,1.6745,0.5882,12,184.51965,74.40035,1014.682738,1250.180116,9.19250085,71.56043196356788,47.33848558907364,78,80,0,48,18,6,0.1081081081081081,0.1081081081081081
200,4.24,940.5126667,0.033470005,1.190498138,35,480.56,0.317153602,6.199781505,3.365504223,0.364088345,2.116175827,0.565180488,5.672940756,1.7834,0.5636,8,144.782513,59.647487,814.9717513,989.1872098,8.992610998,57.1842526480532,38.59055856651924,59,60,0,41,11,5,0.1186440677966101,0.1186440677966101
201,4.22,1085.621333,0.033470005,0.257691826,62,512.33,0.320583597,6.203990562,3.343190886,0.27565134,2.087344318,0.476471369,0.0,1.6799,0.62,16,143.338204,65.121796,768.5303768,1131.951868,11.31951868,60.53011728577886,43.13407942053416,62,70,0,38,8,4,0.1153846153846153,0.1153846153846153
202,4.21,997.0616667,0.077824564,0.221772796,64,504.17,0.363508198,6.399008851,3.453124886,0.177690351,2.197512242,0.496879909,0.093677959,1.1614,0.5556,10,143.426962,63.633038,861.6856064,1094.084044,10.13040782,60.8867962557038,44.69068713973892,44,46,6,32,12,2,0.1071428571428571,0.1071428571428571
203,4.2,1219.206333,0.077824564,0.054694886,64,503.34,0.342527947,6.182630985,3.295026733,0.397830464,1.967524674,0.524635523,1.081186094,1.709,0.6,14,155.158962,67.721038,866.8398491,1181.99267,10.74538791,63.63374239083635,42.69233450799732,64,66,0,40,10,6,0.1379310344827586,0.1379310344827586
204,4.2,647.6096667,0.033470005,0.506948122,48,494.78,0.494590615,6.457246932,3.520609123,1.193763505,2.405816127,0.563275691,0.10519154,1.1567,0.5946,6,97.351032,35.888968,582.19363,684.1177492,9.244834449,41.44551625449608,29.130848822457565,34,34,2,26,12,0,0.0476190476190476,0.0476190476190476
205,4.19,1391.941667,0.033470005,0.104219608,60,504.21,0.30793384,6.158107267,3.370130159,0.441368681,1.978659224,0.476199255,0.07,1.7301,0.6056,14,196.560478,79.759522,1093.369128,1434.08657,10.0992012,80.07887139157242,53.38855831416847,84,88,0,52,18,6,0.1025641025641025,0.1025641025641025
206,4.18,1077.497333,0.033470005,0.000272114,22,425.57,0.247161835,6.517980296,3.743470375,0.748857343,1.793751535,0.375789241,9.42369338,2.0513,0.4261,16,153.710927,64.223073,956.4970716,1097.143864,9.540381427,58.9972169575356,42.15016660179911,48,48,0,39,9,3,0.1111111111111111,0.1
207,4.18,1277.536667,0.033470005,0.069933262,52,465.31,0.355028042,6.363111047,3.560337747,0.51810479,1.990202003,0.489804948,0.56901565,1.8644,0.5606,12,181.710064,75.449936,1051.689615,1268.092289,9.606759763,69.25044426682615,46.30466969574607,60,60,2,44,14,4,0.1142857142857142,0.1142857142857142
208,4.18,567.303,0.033470005,1.817448472,34,491.54,0.287191689,6.445309569,3.525235059,0.729537259,2.298070091,0.471301206,0.402462396,1.2883,0.5303,6,79.524618,31.239382,460.8758298,526.1892573,7.972564505,33.012605538595885,24.278512794319383,25,27,1,19,6,0,0.2352941176470588,0.1764705882352941
209,4.16,1100.624667,0.077824564,0.067484237,64,452.02,0.352374659,6.602058581,3.68251687,0.511574057,2.044122671,0.425858191,0.263208397,1.9217,0.5098,16,145.925376,63.050624,852.5059769,1091.956918,10.70545998,56.359059861570366,39.69223803716026,52,54,2,40,6,2,0.0769230769230769,0.074074074074074
210,4.15,714.9,0.033470005,0.251161093,46,435.81,0.487093878,6.812504093,3.879255191,0.72110173,2.291923678,0.454430147,1.333100004,1.9827,0.5385,10,103.888618,42.867382,618.8915295,754.0612226,9.667451571,42.27394337924227,30.280330461199338,34,36,0,28,10,2,0.0952380952380952,0.0952380952380952
211,4.14,1107.407333,0.077824564,0.741510269,51,457.57,0.343438168,6.468342918,3.567412707,0.118913757,2.253686057,0.640011799,3.417769009,1.8391,0.5748,9,164.096271,62.483729,967.5876732,1086.300837,8.553549895,63.94696442584142,39.02307095665381,67,68,0,54,12,2,0.0294117647058823,0.0285714285714285
212,4.12,1340.840667,0.077824564,0.678651967,61,487.0,0.492616701,6.303858798,3.392715609,0.247351499,2.263164166,0.678924081,1.23269564,1.7044,0.5646,11,192.040408,75.319592,1114.439262,1260.317001,8.573585039,73.12742203744816,43.70609258964966,77,78,0,60,14,4,0.0512820512820512,0.05
213,4.09,1031.443,0.033470005,0.107484975,52,422.72,0.430323307,6.827289128,3.934766419,0.297964677,2.100623952,0.39402087,0.412992337,1.9958,0.4898,18,135.773376,69.814624,792.1906745,1059.936576,10.81567935,53.34501119110772,36.54529308158735,36,42,2,28,6,0,0.1739130434782608,0.1739130434782608
214,4.08,884.8766667,0.033470005,0.220140113,50,504.4,0.43329343,6.339424896,3.441151876,0.526812433,2.162160958,0.415789978,3.058442919,1.6956,0.6098,14,116.461032,54.014968,645.575962,909.9633004,11.09711342,47.71201802925228,34.13321415709118,50,54,0,32,6,2,0.0952380952380952,0.0952380952380952
