name,fMF,nHBAcc,nHBDon,Lipinski,GhoseFilter,apol,bpol,Vabc,MW,AMW
Cc1ccc(s1)-c1ccc(s1)-c1c(F)c(F)c(-c2ccc(s2)-c2cc3c(s2)-c2cc4c(cc2C3(C)C)-c2sc(cc2C4(C)C)-c2ccc(s2)-c2cnc(s2)-c2n(C)c(=O)c3c(-c4ncc(s4)-c4ccc(s4)-c4cc5c(s4)-c4cc6c(cc4C5(C)C)-c4sc(cc4C6(C)C)-c4ccc(s4)-c4c(F)c(F)c(-c5ccc(s5)-c5ccc(C)s5)c5nsnc45)n(C)c(=O)c23)c2nsnc12,0.5833333333333334,24,0,0,0,267.3731659999998,118.00683400000017,1503.5791031850665,1994.0463221040009,10.385657927625005
Cc1ccc(s1)-c1ccc(s1)-c1c(F)c(F)c(-c2cc3c(s2)-c2sc(cc2[Si]3(C)C)-c2c(F)c(F)c(-c3ccc(s3)-c3ccc(C)s3)c3nsnc23)c2nsnc12,0.620253164556962,12,0,0,0,116.82744600000001,66.20255400000005,654.583959556932,917.9315541140006,11.619386760936717
Cc1ccc(s1)-c1ccc(s1)-c1c(F)c(F)c(-c2ccc(s2)-c2cc3c(s2)-c2cc4c(cc2C3(C)C)-c2sc(cc2C4(C)C)-c2ccc([se]2)-c2c(F)c(F)c(-c3ccc([se]3)-c3cc4c(s3)-c3cc5c(cc3C4(C)C)-c3sc(cc3C5(C)C)-c3ccc(s3)-c3c(F)c(F)c(-c4ccc(s4)-c4ccc(C)s4)c4nsnc34)c3nsnc23)c2nsnc12,0.5953757225433526,19,0,0,0,244.82882200000034,108.07117800000015,1363.125868496168,1931.9013806480007,11.167060003745668
CN1\\C(=C\\[C]2C(=O)[C](C2=O)c2c(O)cc(cc2O)N2[C@H]3CCC[C@@H]3c3cc(ccc23)C#N)C(C)(C)c2cc(ccc12)-c1cc2sc3-c4cc5c(cc4C(c3c2s1)(c1ccc(C)cc1)c1ccc(C)cc1)-c1sc2cc(sc2c1C5(c1ccc(C)cc1)c1ccc(C)cc1)-c1ccc2N(C)\\C(=C\\[C]3C(=O)[C](C3=O)c3c(O)cc(cc3O)N3[C@H]4CCC[C@H]4c4cc(ccc34)C#N)C(C)(C)c2c1,0.5045045045045045,18,4,0,0,277.01378399999965,109.57421600000023,1618.3583419823192,1820.5546477760022,8.200696611603613
Cc1ccc(s1)-c1c2cc(sc2c(-c2ccc(C)s2)c2cc(sc12)-c1sc(cc1C)-c1cc(C)c(C=C2C(=O)c3ccccc3C2=O)s1)-c1sc(cc1C)-c1cc(C)c(C=C2C(=O)c3ccccc3C2=O)s1,0.5636363636363636,12,0,0,0,151.94613400000057,61.2738660000001,872.5574001745016,1078.0535776960012,9.800487069963648
CN1c2ccc(cc2Oc2cc(ccc12)-c1ccc(s1)-c1sc(C=C(C#N)C#N)cc1C)-c1ccc(s1)-c1sc(C=C(C#N)C#N)cc1C,0.4722222222222222,10,0,0,0,98.368239,38.63976100000002,605.7397831355283,705.0785443560007,9.79275756050001
Cc1cc(\\C=c2\\sc(=C(C#N)C#N)n(C)c2=O)sc1-c1cc(C)c(s1)-c1cc2sc(cc2s1)-c1sc(cc1C)-c1sc(\\C=c2\\sc(=C(C#N)C#N)n(C)c2=O)cc1C,0.47619047619047616,16,0,0,0,118.88061800000001,53.19938200000008,714.657906358084,901.9882920720008,10.73795585800001
Cc1ccc(s1)-c1ccc(s1)-c1cnc(-c2cc3c(s2)-c2sc(cc2[Si]3(C)C)-c2ncc(-c3ccc(s3)-c3ccc(C)s3)c3nsnc23)c2nsnc12,0.6363636363636364,14,0,0,0,114.79303200000001,66.03696800000007,617.7152744894261,847.9597392980008,11.012464146727284
Cc1cc(C=C2C(=O)c3ccccc3C2=O)sc1-c1ccc(s1)-c1sc(cc1C)-c1cc2c(s1)-c1sc(cc1C21c2cc(ccc2-c2ccc(cc12)C(C)(C)C)C(C)(C)C)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(C=C2C(=O)c3ccccc3C2=O)cc1C,0.503448275862069,12,0,0,0,192.3384080000006,79.33159200000016,1105.4374773981415,1300.1944282720015,8.966858126013804
Cc1ccc(s1)-c1ccc(s1)-c1c(F)c(F)c(-c2ccc(s2)-c2cc3c(s2)-c2cc4c(cc2C3(C)C)-c2sc(cc2C4(C)C)-c2ccc(s2)-c2c(F)c(F)c(-c3ccc(s3)-c3cc4c(s3)-c3cc5c(cc3C4(C)C)-c3sc(cc3C5(C)C)-c3ccc(s3)-c3c(F)c(F)c(-c4ccc(s4)-c4cc5c(s4)-c4cc6c(cc4C5(C)C)-c4sc(cc4C6(C)C)-c4ccc(s4)-c4c(F)c(F)c(-c5ccc(s5)-c5ccc(C)s5)c5nsnc45)c4nsnc34)c3nsnc23)c2nsnc12,0.5932203389830508,28,0,0,0,331.01868199999836,141.4613180000002,1842.2043377555162,2490.032290127987,10.550984280203334
Cn1c(=O)c2cccc3c(ccc(c23)c1=O)C#Cc1ccc(C#Cc2ccc(cc2)N(c2ccccc2)c2ccccc2)c2nsnc12,0.625,6,0,0,0,93.377032,33.972968,559.3416875663289,636.1619970080006,8.835583291777787
COc1cc(-c2ccc(s2)-c2sc(cc2C)-c2sc(\\C=C3\\SC(=S)N(C)C3=O)cc2C)c(OC)cc1-c1ccc(s1)-c1sc(cc1C)-c1sc(\\C=C2\\SC(=S)N(C)C2=O)cc1C,0.4897959183673469,14,0,0,0,135.23254800000018,66.88345200000012,803.5426845574689,999.9882176320011,10.203961404408174
Cc1ccc(s1)-c1ccc(s1)-c1cc(F)c(-c2cc3c(s2)-c2sc(cc2[Si]3(C)C)-c2c(F)c(F)c(-c3ccc(s3)-c3ccc(C)s3)c3nsnc23)c2nsnc12,0.620253164556962,12,0,0,0,116.937239,66.09276100000005,648.5164006031242,899.9409759260006,11.391657923113932
Cn1c(-c2cccs2)c2c(c(-c3ccc(s3)-c3cc4OC(C)(C)c5cc(sc5-c4s3)-c3ccc(s3)-c3n(C)c(=O)c4c(-c5cccs5)n(C)c(=O)c34)n(C)c2=O)c1=O,0.5454545454545454,11,0,0,0,117.62379000000001,56.904210000000084,697.2259201878285,874.0540460600009,9.93243234159092
Cc1ccc(s1)-c1sc(cc1C)-c1sc(cc1C)-c1nnc(nn1)-c1cc(C)c(s1)-c1cc(C)c(s1)-c1cc2c(-c3ccc(C)s3)c3sc(cc3c(-c3ccc(C)s3)c2s1)-c1sc(cc1C)-c1sc(cc1C)-c1nnc(nn1)-c1cc(C)c(s1)-c1cc(C)c(s1)-c1ccc(C)s1,0.56,22,0,0,0,208.98682200000056,93.17317800000016,1147.9239276527683,1502.0561377280014,10.013707584853343
